crisis_id,crisis_name,type_of_crisis,regional_or_country,country_level,individual_aggregated,website_name,iso3,country,regions,INFORM Severity Index,INFORM Severity category (numeric),INFORM Severity category,Reliability,Impact of the crisis,Geographical Impact,Human Impact,Conditions of affected people,People in need,Concentration of conditions,Complexity,Society and safety,Operating environment,Last updated,mon,year
AFG001,Complex crisis in Afghanistan,Complex crisis,Country,Yes,Individual,Complex crisis,AFG,Afghanistan,Asia,4.4,5,Very High,Very High,4.8,4.9,4.7,4.4,4.7,4,4.2,3.9,4.5,2019-01-31,Jan,2019
AFG002,Conflict in Afghanistan,Conflict,Country,No,Individual,,AFG,Afghanistan,Asia,4.1,5,Very High,Very High,4.6,4.9,4.5,3.6,4.2,3,4.2,3.9,4.5,2019-01-31,Jan,2019
AFG003,Drought in Afghanistan,Drought,Country,No,Individual,,AFG,Afghanistan,Asia,3.9,4,High,High,3.1,4.1,2.5,4.1,4.2,4,4,3.9,4,2019-01-30,Jan,2019
HTI001,Complex crisis in Haiti,Complex crisis,Country,Yes,Individual,Complex crisis,HTI,Haiti,Americas,3.4,4,High,,3.6,4,3.3,4.1,4.1,4,2.1,2.7,1.5,2019-01-28,Jan,2019
LSO002,Drought in Lesotho,Drought,Country,Yes,Individual,Drought,LSO,Lesotho,Africa,2.2,3,Medium,Very High,2.7,3.4,2.3,2.7,2.3,3,1.1,1.7,0.5,2019-01-30,Jan,2019
MLI001,Complex crisis in Mali,Complex crisis,Country,Yes,Individual,Complex crisis,MLI,Mali,Africa,3.6,4,High,Very High,4.3,4.8,4,3.4,3.8,3,3.4,2.7,4,2019-01-24,Jan,2019
NGA001,Complex crisis in Nigeria,Complex crisis,Country,Yes,Individual,Complex crisis,NGA,Nigeria,Africa,3.5,4,High,Very High,4.1,5,3.5,3,4,2,3.8,3.5,4,2019-01-29,Jan,2019
NGA002,Food insecurity in Nigeria,,Country,No,Individual,,NGA,Nigeria,Africa,3.6,4,High,High,4.3,5,3.9,3,4,2,3.8,3.5,4,2019-01-25,Jan,2019
NGA003,Middle belt conflict,Conflict,Country,No,Individual,Middle Belt,NGA,Nigeria,Africa,2.1,3,Medium,Very High,3.2,3.4,3.1,0,0,0,3.8,3.5,4,2019-01-25,Jan,2019
NGA004,Boko Haram crisis in Nigeria,Conflict,Country,No,Individual,Boko Haram ,NGA,Nigeria,Africa,4,4,High,,3.8,2.1,4.4,4.4,4.7,4,3.5,3.5,3.5,2019-01-25,Jan,2019
NGA005,Cameroon refugees in Nigeria,,Country,No,Individual,,NGA,Nigeria,Africa,1.5,2,Low,Very High,2.3,2.4,2.2,0,0,0,3,3.5,2.5,2019-01-25,Jan,2019
NIC001,Socioeconomic crisis in Nicaragua,Political and economic crisis,Country,Yes,Individual,Socioeconomic crisis,NIC,Nicaragua,Americas,2,2,Low,High,3,4,2.4,1.3,2.5,0,2.1,2.9,1,2019-01-25,Jan,2019
PRK001,Complex crisis in DPRK,Complex crisis,Country,Yes,Individual,Complex crisis,PRK,DPRK,Asia,3.6,4,High,High,4,4.6,3.6,3.8,4.6,3,2.9,3.3,2.5,2019-01-28,Jan,2019
SEN002,Drought in Senegal,Drought,Country,Yes,Individual,Drought,SEN,Senegal,Africa,2.5,3,Medium,High,3.4,4.5,2.7,2.3,2.6,2,2,1.9,2,2019-01-25,Jan,2019
SOM001,Complex crisis in Somalia,Complex crisis,Country,Yes,Individual,Complex crisis,SOM,Somalia,Africa,3.6,4,High,High,4,4.6,3.7,3.4,3.7,3,3.5,4.3,2.5,2019-01-31,Jan,2019
SYR001,Syrian conflict,Complex crisis,Country,Yes,Individual,Conflict,SYR,Syria,Middle east,4.9,5,Very High,Very High,4.8,4.4,4.9,5,5,5,4.7,4.3,5,2019-01-30,Jan,2019
TZA002,International Displacement in Tanzania,International displacement,Country,No,Individual,Refugees,TZA,Tanzania,Africa,1.5,2,Low,High,3.3,2.3,3.7,0,0,0,1.8,2.4,1,2019-01-30,Jan,2019
VEN001,Complex crisis in Venezuela,Complex crisis,Country,Yes,Individual,Complex crisis,VEN,Venezuela,Americas,4.2,5,Very High,Very High,4.9,5,4.9,4.5,5,4,3.3,3.5,3,2019-01-29,Jan,2019
YEM001,Conflict in Yemen,Complex crisis,Country,Yes,Individual,Complex crisis,YEM,Yemen,Middle east,4.2,5,Very High,Very High,4.9,4.8,5,4.5,5,4,3.3,4,2.5,2019-01-28,Jan,2019
AFG001,Complex crisis in Afghanistan,Complex crisis,Country,Yes,Individual,Complex crisis,AFG,Afghanistan,Asia,4.4,5,Very High,Very High,4.8,4.9,4.8,4.4,4.7,4,4.2,3.9,4.5,2019-02-26,Feb,2019
ARG002,Venezuela displacement in Argentina,,Country,,Individual,,ARG,Argentina,Americas,0.9,1,Very Low,High,2.1,0.5,2.7,0,0,0,1,1.5,0.5,2019-02-15,Feb,2019
