Iso3,IndicatorId,IndicatorScore,IndicatorName,nodelevel,ValidityYear,Unit,Note,year
AFG,AFF_DR,886000,Drought affected,0,2022,Number,"",2022
AGO,AFF_DR,196111.428571429,Drought affected,0,2022,Number,"",2022
ALB,AFF_DR,91428.5714285714,Drought affected,0,2022,Number,"",2022
ARG,AFF_DR,1000.91428571429,Drought affected,0,2022,Number,"",2022
ARM,AFF_DR,8485.71428571429,Drought affected,0,2022,Number,"",2022
AUS,AFF_DR,2e+05,Drought affected,0,2022,Number,"",2022
AZE,AFF_DR,0,Drought affected,0,2022,Number,"",2022
BDI,AFF_DR,87500,Drought affected,0,2022,Number,"",2022
BFA,AFF_DR,361322.571428571,Drought affected,0,2022,Number,"",2022
BGD,AFF_DR,142857.142857143,Drought affected,0,2022,Number,"",2022
BGR,AFF_DR,0,Drought affected,0,2022,Number,"",2022
BIH,AFF_DR,1787.85714285714,Drought affected,0,2022,Number,"",2022
BOL,AFF_DR,44419.8571428571,Drought affected,0,2022,Number,"",2022
BRA,AFF_DR,1251771.42857143,Drought affected,0,2022,Number,"",2022
BRB,AFF_DR,0,Drought affected,0,2022,Number,"",2022
BWA,AFF_DR,3942.85714285714,Drought affected,0,2022,Number,"",2022
CAN,AFF_DR,0,Drought affected,0,2022,Number,"",2022
CHL,AFF_DR,0,Drought affected,0,2022,Number,"",2022
CHN,AFF_DR,14400000,Drought affected,0,2022,Number,"",2022
CMR,AFF_DR,5682.85714285714,Drought affected,0,2022,Number,"",2022
COL,AFF_DR,2857.14285714286,Drought affected,0,2022,Number,"",2022
CPV,AFF_DR,3142.85714285714,Drought affected,0,2022,Number,"",2022
CRI,AFF_DR,0,Drought affected,0,2022,Number,"",2022
CUB,AFF_DR,26285.7142857143,Drought affected,0,2022,Number,"",2022
CYP,AFF_DR,0,Drought affected,0,2022,Number,"",2022
DJI,AFF_DR,27514.5142857143,Drought affected,0,2022,Number,"",2022
DNK,AFF_DR,0,Drought affected,0,2022,Number,"",2022
ECU,AFF_DR,4133.28571428571,Drought affected,0,2022,Number,"",2022
ERI,AFF_DR,160000,Drought affected,0,2022,Number,"",2022
ESP,AFF_DR,171428.571428571,Drought affected,0,2022,Number,"",2022
ETH,AFF_DR,1962625.11428571,Drought affected,0,2022,Number,"",2022
FJI,AFF_DR,9441.57142857143,Drought affected,0,2022,Number,"",2022
FRA,AFF_DR,0,Drought affected,0,2022,Number,"",2022
FSM,AFF_DR,3680,Drought affected,0,2022,Number,"",2022
GEO,AFF_DR,19885.7142857143,Drought affected,0,2022,Number,"",2022
GIN,AFF_DR,0,Drought affected,0,2022,Number,"",2022
GMB,AFF_DR,14031.4285714286,Drought affected,0,2022,Number,"",2022
GNB,AFF_DR,3771.42857142857,Drought affected,0,2022,Number,"",2022
GRC,AFF_DR,0,Drought affected,0,2022,Number,"",2022
GRD,AFF_DR,0,Drought affected,0,2022,Number,"",2022
GTM,AFF_DR,164373.742857143,Drought affected,0,2022,Number,"",2022
