Donor,Year,GNI_USD
Azerbaijan,2003,
Kuwait,2003,
Saudi Arabia,2003,
Qatar,2003,
"DAC EU Members + EC, Total",2003,11692451.093025
"DAC EU Members, Total",2003,11692451.093025
"DAC Countries, Total",2004,38453331.124445
Australia,2004,844590.330503
Austria,2004,357873.305164
Belgium,2004,425141.65582
Canada,2004,1243686.074581
Denmark,2004,283836.037149
Finland,2004,221637.527641
France,2004,2316267.076696
Germany,2004,3135083.341183
Greece,2004,209054.135529
Ireland,2004,168140.371858
Italy,2004,1910031.853001
Japan,2004,4661602.733154
Korea,2004,849610.612243
Luxembourg,2004,43284.263237
Netherlands,2004,663070.558583
New Zealand,2004,126352.30233
Norway,2004,280834.375189
Portugal,2004,195032.707884
Spain,2004,1136633.053811
Sweden,2004,371188.613681
Switzerland,2004,556337.744407
United Kingdom,2004,2190955.743688
United States,2004,15613327.955341
"Non-DAC Countries, Total",2004,524735.707579
Bulgaria,2004,
Chinese Taipei,2004,
Cyprus,2004,
Czech Republic,2004,146958.060962
Estonia,2004,18191.535315
Hungary,2004,110720.478879
Iceland,2004,13210.304901
Israel,2004,198087.634258
Latvia,2004,22443.403395
Liechtenstein,2004,
Lithuania,2004,33918.489572
Malta,2004,
Poland,2004,321097.148904
Romania,2004,
Slovak Republic,2004,57772.758126
Slovenia,2004,
Thailand,2004,
Turkey,2004,252094.645039
United Arab Emirates,2004,
Croatia,2004,
"G7 Countries, Total",2004,31070954.777644
Kazakhstan,2004,
Azerbaijan,2004,
Kuwait,2004,
Saudi Arabia,2004,
Qatar,2004,
"DAC EU Members + EC, Total",2004,12072822.948108
"DAC EU Members, Total",2004,12072822.948108
"DAC Countries, Total",2005,39482860.990789
Australia,2005,888714.648484
Austria,2005,361596.996021
Belgium,2005,435264.381043
Canada,2005,1288153.236319
Denmark,2005,298449.7262
Finland,2005,231588.408856
France,2005,2335874.807655
Germany,2005,3199633.427726
Greece,2005,224062.51708
Ireland,2005,178973.18236
Italy,2005,1968530.951621
Japan,2005,4720404.515869
Korea,2005,870631.649634
Luxembourg,2005,44765.449326
Netherlands,2005,708288.561136
New Zealand,2005,129212.910753
Norway,2005,291490.991305
Portugal,2005,205048.47133
Spain,2005,1189894.97105
Sweden,2005,382098.990566
Switzerland,2005,579624.732641
United Kingdom,2005,2238962.218219
United States,2005,16051116.703127
"Non-DAC Countries, Total",2005,974748.838282
Bulgaria,2005,
Chinese Taipei,2005,399032.151314
Cyprus,2005,18743.154791
Czech Republic,2005,159693.062664
Estonia,2005,20283.498165
Hungary,2005,104412.733153
Iceland,2005,14875.672292
Israel,2005,209858.429363
Latvia,2005,25014.306571
Liechtenstein,2005,
Lithuania,2005,36742.611688
Malta,2005,
Poland,2005,343011.9914
Romania,2005,
Slovak Republic,2005,
Slovenia,2005,38485.082959
Thailand,2005,
Turkey,2005,265074.68639
United Arab Emirates,2005,
Croatia,2005,
"G7 Countries, Total",2005,31802675.860536
Kazakhstan,2005,
Azerbaijan,2005,
Kuwait,2005,
Saudi Arabia,2005,
Qatar,2005,
"DAC EU Members + EC, Total",2005,12409673.712146
"DAC EU Members, Total",2005,12409673.712146
"DAC Countries, Total",2006,40946173.304601
Australia,2006,907669.081589
Austria,2006,372550.25848
Belgium,2006,446837.528162
Canada,2006,1324186.424209
Denmark,2006,312448.106596
Finland,2006,244910.895331
France,2006,2423858.806796
Germany,2006,3305533.911925
Greece,2006,234617.35243
Ireland,2006,189402.905971
Italy,2006,2007821.760628
Japan,2006,4830407.489763
Korea,2006,910704.274763
Luxembourg,2006,42101.16293
Netherlands,2006,740742.30262
New Zealand,2006,131141.459314
Norway,2006,298908.39128
Portugal,2006,206116.518571
Spain,2006,1235424.482038
Sweden,2006,400980.753236
Switzerland,2006,595965.310517
United Kingdom,2006,2287047.56306
United States,2006,16706090.692255
"Non-DAC Countries, Total",2006,1248462.376997
Bulgaria,2006,
Chinese Taipei,2006,395062.340493
Cyprus,2006,19891.527677
Czech Republic,2006,168951.906877
Estonia,2006,23545.322814
Hungary,2006,130804.848807
Iceland,2006,15107.560926
Israel,2006,228334.390282
Latvia,2006,27133.462359
Liechtenstein,2006,
Lithuania,2006,44091.155876
Malta,2006,
Poland,2006,364906.101386
Romania,2006,
Slovak Republic,2006,68753.684604
Slovenia,2006,42181.769537
Thailand,2006,224462.948734
Turkey,2006,285941.228762
United Arab Emirates,2006,
Croatia,2006,
"G7 Countries, Total",2006,32884946.648636
Kazakhstan,2006,
Azerbaijan,2006,
Kuwait,2006,
Saudi Arabia,2006,
Qatar,2006,
"DAC EU Members + EC, Total",2006,12938945.056925
"DAC EU Members, Total",2006,12938945.056925
"DAC Countries, Total",2007,41924436.608994
Australia,2007,899519.741607
Austria,2007,379842.152817
Belgium,2007,464703.432945
Canada,2007,1365377.235521
Denmark,2007,316373.175869
Finland,2007,258200.060479
France,2007,2489635.691305
Germany,2007,3404602.288671
Greece,2007,261720.019742
Ireland,2007,196360.964892
Italy,2007,2033803.495194
Japan,2007,4964792.827687
Korea,2007,950483.541853
Luxembourg,2007,47112.168877
Netherlands,2007,758275.992757
New Zealand,2007,137943.634886
Norway,2007,312698.207341
Portugal,2007,210126.664357
Spain,2007,1267268.278013
Sweden,2007,430074.046271
Switzerland,2007,577548.086386
United Kingdom,2007,2339914.149967
United States,2007,17082999.6901
"Non-DAC Countries, Total",2007,1353834.221281
Bulgaria,2007,
Chinese Taipei,2007,393281.430851
Cyprus,2007,21082.31557
Czech Republic,2007,178515.780888
Estonia,2007,24246.881045
Hungary,2007,126537.880366
Iceland,2007,15655.81198
Israel,2007,238479.963043
Latvia,2007,27742.552733
Liechtenstein,2007,4229.666103
Lithuania,2007,48527.636229
Malta,2007,
Poland,2007,332478.57631
Romania,2007,
Slovak Republic,2007,76597.842532
Slovenia,2007,45275.169381
Thailand,2007,192815.15232
Turkey,2007,403428.623387
United Arab Emirates,2007,
Croatia,2007,
"G7 Countries, Total",2007,33681125.378445
Kazakhstan,2007,
Azerbaijan,2007,
Kuwait,2007,
Saudi Arabia,2007,
Qatar,2007,
"DAC EU Members + EC, Total",2007,13277503.681666
"DAC EU Members, Total",2007,13277503.681666
"DAC Countries, Total",2008,42580630.532399
Australia,2008,969041.794843
Austria,2008,389734.972859
Belgium,2008,471219.529267
Canada,2008,1373630.230542
Denmark,2008,311804.849414
Finland,2008,253896.036286
France,2008,2509884.173586
Germany,2008,3490443.40412
Greece,2008,257494.919958
Ireland,2008,194475.504643
Italy,2008,2013113.571883
Japan,2008,4906531.570193
Korea,2008,1062453.593585
Luxembourg,2008,44225.922998
Netherlands,2008,793532.676206
New Zealand,2008,134484.923179
Norway,2008,316869.936794
Portugal,2008,209894.651714
Spain,2008,1291462.128165
Sweden,2008,428409.146925
Switzerland,2008,553221.073626
United Kingdom,2008,2416948.238002
United States,2008,17345053.578971
"Non-DAC Countries, Total",2008,1490656.917791
Bulgaria,2008,
Chinese Taipei,2008,384157.917369
Cyprus,2008,22230.235379
Czech Republic,2008,184095.532634
Estonia,2008,23060.603976
Hungary,2008,122231.368987
Iceland,2008,14825.673837
Israel,2008,249891.52074
Latvia,2008,29412.391542
Liechtenstein,2008,4422.191168
Lithuania,2008,42360.503391
Malta,2008,
Poland,2008,390678.53168
Romania,2008,134242.149419
Slovak Republic,2008,83067.416646
Slovenia,2008,47905.580856
Thailand,2008,192743.770883
Turkey,2008,408135.633924
United Arab Emirates,2008,
Croatia,2008,
"G7 Countries, Total",2008,34055604.767297
Kazakhstan,2008,
Azerbaijan,2008,
Kuwait,2008,
Saudi Arabia,2008,
Qatar,2008,
"DAC EU Members + EC, Total",2008,13487569.918827
"DAC EU Members, Total",2008,13487569.918827
"DAC Countries, Total",2009,41022452.967079
Australia,2009,1026295.16542
Austria,2009,374361.302247
Belgium,2009,462139.137172
Canada,2009,1336441.658006
Denmark,2009,298652.696369
Finland,2009,231251.115031
France,2009,2456851.615749
Germany,2009,3308252.777998
Greece,2009,250667.092058
Ireland,2009,173265.438016
Italy,2009,1911420.07787
Japan,2009,4575259.158787
Korea,2009,1054021.724229
Luxembourg,2009,42126.114057
Netherlands,2009,739143.231544
New Zealand,2009,143441.050715
Norway,2009,314680.421329
Portugal,2009,205177.15784
Spain,2009,1245596.568138
Sweden,2009,401627.317015
Switzerland,2009,589381.919493
United Kingdom,2009,2289717.304358
United States,2009,16757030.166769
"Non-DAC Countries, Total",2009,1742475.095023
Bulgaria,2009,
Chinese Taipei,2009,319392.490834
Cyprus,2009,23481.036099
Czech Republic,2009,175854.197879
Estonia,2009,20920.995834
Hungary,2009,116069.136771
Iceland,2009,14105.993362
Israel,2009,252650.612161
Latvia,2009,28826.824725
Liechtenstein,2009,3935.211824
Lithuania,2009,34642.240952
Malta,2009,7618.991575
Poland,2009,406092.421521
Romania,2009,202637.066092
Slovak Republic,2009,79648.696782
Slovenia,2009,43882.310554
Thailand,2009,208168.510877
Turkey,2009,380697.400189
United Arab Emirates,2009,259503.713861
Croatia,2009,
"G7 Countries, Total",2009,32634972.759537
Kazakhstan,2009,
Azerbaijan,2009,
Kuwait,2009,
Saudi Arabia,2009,
Qatar,2009,
"DAC EU Members + EC, Total",2009,12922078.404611
"DAC EU Members, Total",2009,12922078.404611
"DAC Countries, Total",2010,42283023.706971
Australia,2010,1044738.325764
Austria,2010,386887.794955
Belgium,2010,471926.030723
Canada,2010,1377574.495351
Denmark,2010,300996.812955
Finland,2010,246676.180192
France,2010,2487907.455037
Germany,2010,3410022.118925
Greece,2010,243406.752278
Ireland,2010,173568.378804
Italy,2010,1945683.48047
Japan,2010,4761009.844143
Korea,2010,1127622.770367
Luxembourg,2010,40938.821397
Netherlands,2010,767011.354316
New Zealand,2010,145575.123529
Norway,2010,308431.850024
Portugal,2010,216355.517244
Spain,2010,1266592.666042
Sweden,2010,432530.979077
Switzerland,2010,632374.035889
United Kingdom,2010,2342587.288946
United States,2010,17296178.214216
"Non-DAC Countries, Total",2010,2009438.429016
Bulgaria,2010,46718.284909
Chinese Taipei,2010,380401.691964
Cyprus,2010,22644.716983
Czech Republic,2010,179330.110151
Estonia,2010,21265.952332
Hungary,2010,117724.606852
Iceland,2010,13815.418367
Israel,2010,260374.660749
Latvia,2010,26712.67741
Liechtenstein,2010,4307.017943
Lithuania,2010,38130.948361
Malta,2010,7717.991294
Poland,2010,418082.533604
Romania,2010,160783.581893
Slovak Republic,2010,82474.745162
Slovenia,2010,45000.002191
Thailand,2010,341356.338924
Turkey,2010,411778.819836
United Arab Emirates,2010,287245.746418
Croatia,2010,
"G7 Countries, Total",2010,33620962.897088
Kazakhstan,2010,
Azerbaijan,2010,
Kuwait,2010,
Saudi Arabia,2010,
Qatar,2010,
"DAC EU Members + EC, Total",2010,13233116.340375
"DAC EU Members, Total",2010,13233116.340375
"DAC Countries, Total",2011,42993949.564197
Australia,2011,1084219.429086
Austria,2011,401776.908876
Belgium,2011,492262.559278
Canada,2011,1411665.227047
Denmark,2011,310623.469804
Finland,2011,250304.973174
France,2011,2547443.212898
Germany,2011,3486830.327724
Greece,2011,224281.18634
Ireland,2011,169357.089647
Italy,2011,1967134.116231
Japan,2011,4754065.150154
Korea,2011,1175292.57607
Luxembourg,2011,41211.682003
Netherlands,2011,786927.044693
New Zealand,2011,148040.321508
Norway,2011,317890.167132
Portugal,2011,214293.966719
Spain,2011,1266393.446968
Sweden,2011,453453.823193
Switzerland,2011,611878.566048
United Kingdom,2011,2385299.00635
United States,2011,17610637.536847
"Non-DAC Countries, Total",2011,2117340.300912
Bulgaria,2011,49337.603937
Chinese Taipei,2011,386431.042056
Cyprus,2011,22587.07072
Czech Republic,2011,185735.446936
Estonia,2011,22030.976983
Hungary,2011,116966.132234
Iceland,2011,14685.239129
Israel,2011,277357.195903
Latvia,2011,27502.314865
Liechtenstein,2011,4296.056
Lithuania,2011,40545.665465
Malta,2011,7636.241907
Poland,2011,436177.133382
Romania,2011,177359.253673
Slovak Republic,2011,84367.629707
Slovenia,2011,44736.195019
Thailand,2011,328590.229954
Turkey,2011,444605.292613
United Arab Emirates,2011,329061.356836
Croatia,2011,
"G7 Countries, Total",2011,34163074.577251
Kazakhstan,2011,
Azerbaijan,2011,
Kuwait,2011,
Saudi Arabia,2011,
Qatar,2011,
"DAC EU Members + EC, Total",2011,13480276.344826
"DAC EU Members, Total",2011,13480276.344826
"DAC Countries, Total",2012,44356926.035557
Australia,2012,1122658.95358
Austria,2012,404054.958529
Belgium,2012,486615.429463
Canada,2012,1476118.672616
Denmark,2012,309096.138208
Finland,2012,245513.095789
France,2012,2559060.785467
Germany,2012,3550355.349798
Greece,2012,210280.099578
Ireland,2012,173011.385446
Italy,2012,1918381.992232
Japan,2012,4824968.570375
Korea,2012,1199186.68049
Luxembourg,2012,40826.716564
Netherlands,2012,775498.638743
New Zealand,2012,153120.300854
Norway,2012,330792.877873
Portugal,2012,210260.750451
Spain,2012,1230217.958874
Sweden,2012,458494.052197
Switzerland,2012,634409.975821
United Kingdom,2012,2387472.98413
United States,2012,18768323.606562
"Non-DAC Countries, Total",2012,2351161.112957
Bulgaria,2012,48208.423724
Chinese Taipei,2012,473821.959017
Cyprus,2012,21400.684132
Czech Republic,2012,183603.171374
Estonia,2012,23751.950925
Hungary,2012,117231.079531
Iceland,2012,15358.161498
Israel,2012,305146.147294
Latvia,2012,28928.474131
Liechtenstein,2012,3690.402888
Lithuania,2012,42401.049511
Malta,2012,7681.667106
Poland,2012,441607.171837
Romania,2012,161451.493103
Slovak Republic,2012,86034.524729
Slovenia,2012,44371.952948
Thailand,2012,369695.163323
Turkey,2012,451607.224574
United Arab Emirates,2012,360960.932081
Croatia,2012,52415.541148
"G7 Countries, Total",2012,35484681.96118
Kazakhstan,2012,
Azerbaijan,2012,
Kuwait,2012,
Saudi Arabia,2012,
Qatar,2012,
"DAC EU Members + EC, Total",2012,13444515.251758
"DAC EU Members, Total",2012,13444515.251758
"DAC Countries, Total",2013,45310678.17676
Australia,2013,1162711.335169
Austria,2013,417809.924582
Belgium,2013,484066.408721
Canada,2013,1504582.742259
Denmark,2013,314863.911095
Finland,2013,251396.675702
France,2013,2585028.635141
Germany,2013,3618112.451506
Greece,2013,200537.864998
Ireland,2013,176985.808761
Italy,2013,1891884.23133
Japan,2013,4930810.671406
Korea,2013,1336262.352971
Luxembourg,2013,41664.422447
Netherlands,2013,774234.316604
New Zealand,2013,157131.343581
Norway,2013,331082.488358
Portugal,2013,207127.865379
Spain,2013,1225333.359916
Sweden,2013,466920.915462
Switzerland,2013,675714.615099
United Kingdom,2013,2427907.440759
United States,2013,19215796.726775
"Non-DAC Countries, Total",2013,2631742.295306
Bulgaria,2013,49153.629691
Chinese Taipei,2013,483742.61673
Cyprus,2013,19964.615269
Czech Republic,2013,184409.857016
Estonia,2013,24510.667004
Hungary,2013,118205.209241
Iceland,2013,17429.444376
Israel,2013,321941.819648
Latvia,2013,30092.616089
Liechtenstein,2013,4224.620668
Lithuania,2013,43793.091914
Malta,2013,8599.539786
Poland,2013,463092.382762
Romania,2013,173835.210323
Slovak Republic,2013,84932.359286
Slovenia,2013,44642.416058
Thailand,2013,361273.815794
Turkey,2013,471161.134787
United Arab Emirates,2013,387017.547479
Croatia,2013,53848.293478
"G7 Countries, Total",2013,36174122.899176
Kazakhstan,2013,198583.076646
Azerbaijan,2013,
Kuwait,2013,
Saudi Arabia,2013,
Qatar,2013,
"DAC EU Members + EC, Total",2013,13551249.016007
"DAC EU Members, Total",2013,13551249.016007
"DAC Countries, Total",2014,46290693.203226
Australia,2014,1180527.01639
Austria,2014,414831.67824
Belgium,2014,499300.824502
Canada,2014,1547664.802029
Denmark,2014,318249.235086
Finland,2014,254011.769653
France,2014,2655849.541661
Germany,2014,3763835.95699
Greece,2014,198784.305832
Ireland,2014,209907.477168
Italy,2014,1951352.80391
Japan,2014,4935292.346812
Korea,2014,1376938.616993
Luxembourg,2014,37633.054365
Netherlands,2014,834487.620821
New Zealand,2014,163715.704712
Norway,2014,346485.899064
Portugal,2014,216911.223896
Spain,2014,1270609.056027
Sweden,2014,479023.717121
Switzerland,2014,680656.038097
United Kingdom,2014,2460199.416006
United States,2014,19541647.753028
"Non-DAC Countries, Total",2014,2779506.218196
Bulgaria,2014,51717.372566
Chinese Taipei,2014,524128.754536
Cyprus,2014,18940.051108
Czech Republic,2014,194712.066882
Estonia,2014,25388.206093
Hungary,2014,125957.026854
Iceland,2014,17679.141597
Israel,2014,332635.111498
Latvia,2014,30054.494024
Liechtenstein,2014,5191.849568
Lithuania,2014,45789.935347
Malta,2014,9693.84685
Poland,2014,478768.715062
Romania,2014,189452.228457
Slovak Republic,2014,89305.703125
Slovenia,2014,46354.691303
Thailand,2014,359956.763127
Turkey,2014,491943.652366
United Arab Emirates,2014,386200.992845
Croatia,2014,54703.571967
"G7 Countries, Total",2014,36855842.620436
Kazakhstan,2014,181248.464461
Azerbaijan,2014,72460.923383
Kuwait,2014,
Saudi Arabia,2014,
Qatar,2014,
"DAC EU Members + EC, Total",2014,14039886.468498
"DAC EU Members, Total",2014,14039886.468498
"DAC Countries, Total",2015,47633053.268643
Australia,2015,1226758.743006
Austria,2015,418133.168526
Belgium,2015,510549.54686
Canada,2015,1570999.697583
Denmark,2015,327315.356173
Finland,2015,254248.269478
France,2015,2676619.23614
Germany,2015,3830899.158956
Greece,2015,199031.620742
Ireland,2015,242497.648236
Italy,2015,1956530.517056
Japan,2015,5256205.022105
Korea,2015,1398423.229863
Luxembourg,2015,42186.439392
Netherlands,2015,862959.118801
New Zealand,2015,172338.477784
Norway,2015,367247.475581
Portugal,2015,218142.855419
Spain,2015,1295199.001782
Sweden,2015,510551.502188
Switzerland,2015,706179.398189
United Kingdom,2015,2525600.445494
United States,2015,20078428.974962
"Non-DAC Countries, Total",2015,2952751.028976
Bulgaria,2015,50641.780497
Chinese Taipei,2015,573187.033345
Cyprus,2015,21618.931564
Czech Republic,2015,204206.132239
Estonia,2015,25660.16141
Hungary,2015,129157.918017
Iceland,2015,18544.784452
Israel,2015,347365.061717
Latvia,2015,30710.798131
Liechtenstein,2015,5486.658732
Lithuania,2015,46466.338779
Malta,2015,10100.097197
Poland,2015,494115.859569
Romania,2015,184724.861435
Slovak Republic,2015,92872.633774
Slovenia,2015,47111.036276
Thailand,2015,390883.637801
Turkey,2015,555303.158711
United Arab Emirates,2015,393827.494845
Croatia,2015,58489.231908
"G7 Countries, Total",2015,37895283.052296
Kazakhstan,2015,184230.136375
Azerbaijan,2015,74055.646529
Kuwait,2015,
Saudi Arabia,2015,
Qatar,2015,
"DAC EU Members + EC, Total",2015,14312327.019624
"DAC EU Members, Total",2015,14312327.019624
"DAC Countries, Total",2016,48085715.830358
Australia,2016,1260853.97769
Austria,2016,424889.35697
Belgium,2016,506526.607414
Canada,2016,1594103.272786
Denmark,2016,340002.786808
Finland,2016,262297.577217
France,2016,2720191.623975
Germany,2016,3911960.250116
Greece,2016,199835.928919
Ireland,2016,270666.074255
Italy,2016,1983736.476155
Japan,2016,5286591.75898
Korea,2016,1433327.450018
Luxembourg,2016,43895.839984
Netherlands,2016,862352.808979
New Zealand,2016,179660.908924
Norway,2016,370671.863152
Portugal,2016,221258.834303
Spain,2016,1334295.342205
Sweden,2016,525877.947325
Switzerland,2016,704180.450626
United Kingdom,2016,2748527.140575
United States,2016,19879201.179408
"Non-DAC Countries, Total",2016,3078514.069588
Bulgaria,2016,53879.10095
Chinese Taipei,2016,586282.784523
Cyprus,2016,
Czech Republic,2016,216888.665041
Estonia,2016,26172.618188
Hungary,2016,132656.493571
Iceland,2016,20609.873141
Israel,2016,363792.062587
Latvia,2016,31355.088152
Liechtenstein,2016,6411.12588
Lithuania,2016,47577.434816
Malta,2016,11045.777772
Poland,2016,504848.554465
Romania,2016,198332.905138
Slovak Republic,2016,97798.001867
Slovenia,2016,48008.785489
Thailand,2016,393773.822097
Turkey,2016,625188.282752
United Arab Emirates,2016,375758.684923
Croatia,2016,58415.330473
"G7 Countries, Total",2016,38124311.701995
Kazakhstan,2016,129737.609688
Azerbaijan,2016,37873.619446
Kuwait,2016,132917.822203
Saudi Arabia,2016,
Qatar,2016,
"DAC EU Members + EC, Total",2016,14607987.955058
"DAC EU Members, Total",2016,14607987.955058
"DAC Countries, Total",2017,49658834.29581
Australia,2017,1253233.882041
Austria,2017,445951.76626
Belgium,2017,521626.089457
Canada,2017,1644907.806825
Denmark,2017,347265.15787
Finland,2017,270553.987387
France,2017,2806719.827382
Germany,2017,4004372.649644
Greece,2017,201356.229344
Ireland,2017,276486.836213
Italy,2017,2030012.758143
Japan,2017,5368973.862494
Korea,2017,1480230.956857
Luxembourg,2017,45950.721737
Netherlands,2017,896384.848628
New Zealand,2017,187876.127233
Norway,2017,373579.570153
Portugal,2017,226938.856431
Spain,2017,1376791.191898
Sweden,2017,540155.065686
Switzerland,2017,729522.402965
United Kingdom,2017,2842074.973662
United States,2017,20720342.012373
"Non-DAC Countries, Total",2017,3294167.59658
Bulgaria,2017,58681.121506
Chinese Taipei,2017,603342.679867
Cyprus,2017,
Czech Republic,2017,226926.863456
Estonia,2017,28206.926062
Hungary,2017,139306.601735
Iceland,2017,21036.119165
Israel,2017,381366.804188
Latvia,2017,32573.390631
Liechtenstein,2017,7102.919736
Lithuania,2017,49766.309613
Malta,2017,12403.945595
Poland,2017,531565.007627
Romania,2017,217879.359146
Slovak Republic,2017,97759.198884
Slovenia,2017,50932.92426
Thailand,2017,430056.510222
Turkey,2017,674216.771253
United Arab Emirates,2017,405548.218939
Croatia,2017,57276.157509
"G7 Countries, Total",2017,39417403.890523
Kazakhstan,2017,148915.742315
Azerbaijan,2017,41037.472039
Kuwait,2017,145793.267959
Saudi Arabia,2017,
Qatar,2017,
"DAC EU Members + EC, Total",2017,15037056.582042
"DAC EU Members, Total",2017,15037056.582042
"DAC Countries, Total",2018,51019095.688666
Australia,2018,1317728.69616
Austria,2018,454799.635639
Belgium,2018,534665.474703
Canada,2018,1673569.246897
Denmark,2018,358581.917872
Finland,2018,272007.552841
France,2018,2846443.986651
Germany,2018,4086221.330835
Greece,2018,209255.881207
Ireland,2018,294894.426726
Italy,2018,2057707.343774
Japan,2018,5391609.992163
Korea,2018,1616125.096751
